계정 이름,트윗 내용,리포스트 수,답글 제한 여부,작성한 포스트 수,전처리된 트윗,라벨링,전처리된 트윗_문자열,예측된_라벨링,0,1,ID
ひ..,"눅스 핸드크림 평소에 만원 넘는게 지금 딱 2500원에 무료배송입니다

바르고 나서도 끈적거리지 않고 깔끔하게 잘 스며드는데 향기도 고급스럽고 촉촉해서 좋음..

https://bit.ly/4gRNsGL",7,0,545,"['눅스', '핸드', '크림', '평소', '만원', '넘다', '지금', '무료', '배송', '바르다', '나서다', '거리', '않다', '깔끔하다', '자다', '스며들다', '향기도', '고급스럽다', '촉촉하다', '좋다']",1,눅스 핸드 크림 평소 만원 넘다 지금 무료 배송 바르다 나서다 거리 않다 깔끔하다 자다 스며들다 향기도 고급스럽다 촉촉하다 좋다,1,939,939,@zxlkhs_
ひ..,아니 이런거 왜 추석 다지나고 보이냐고 엄빠선물로 홍삼에만 12만원 썻는데 진짜 눔물나.. 3만원씩 할인 때릴거면 홍보좀 팍팍 하시라구요...,12,0,545,"['아니다', '이렇다', '추석', '다지다', '보이다', '엄빠', '선물', '홍삼', '에만', '만원', '썻는데', '진짜', '눔물', '만원', '할인', '때리다', '홍보', '팍팍']",1,아니다 이렇다 추석 다지다 보이다 엄빠 선물 홍삼 에만 만원 썻는데 진짜 눔물 만원 할인 때리다 홍보 팍팍,1,939,939,@zxlkhs_
ひ..,"아니 입벌구ㅋㅋㅋㅋㅋㅋ

미라클모닝 이거는 진짜 구라 아님

다들 독기 그득한지 자가 진단 하고 오세여 https://metavv.com/ko/content/10920811",1,0,545,"['아니다', '벌다', '미라클', '모닝', '진짜', '구라', '아니다', '들다', '독기', '그득하다', '자가', '진단', '오다']",1,아니다 벌다 미라클 모닝 진짜 구라 아니다 들다 독기 그득하다 자가 진단 오다,1,939,939,@zxlkhs_
ひ..,"후기)파우치만 집에 20개 있는 사람 드디어 인생 파우치를 찾다

여기에 아이패드 넣고 다니면 기분개조아짐.....",13,0,545,"['후기', '파우치', '사람', '드디어', '인생', '파우치', '찾다', '여기', '아이패드', '넣다', '다니다', '분개']",1,후기 파우치 사람 드디어 인생 파우치 찾다 여기 아이패드 넣다 다니다 분개,1,939,939,@zxlkhs_
ひ..,"에어팟 프로가 만원이라고요…? 알리가 또…



100% 선착순 진행이고 매일 10시에 맞춰서 개빨리 들어가셔야 함

이거 말고도 20만원짜리 젠하이저도 그냥 만원에 팔고있음

개민첩하게 트친들이 다 털어갔으면 좋겠어

(궁금한 트친들 타래로)",46,0,545,"['에어팟', '프로', '만원', '이라', '고요', '알리', '\r\r ', '선착순', '진행', '매일', '맞추다', '빨리', '들어가다', '말고도', '만원', '젠하이저', '그냥', '만원', '파다', '민첩하다', '트친', '털다', '가다', '좋다', '궁금하다', '트친', '타래']",1,에어팟 프로 만원 이라 고요 알리 선착순 진행 매일 맞추다 빨리 들어가다 말고도 만원 젠하이저 그냥 만원 파다 민첩하다 트친 털다 가다 좋다 궁금하다 트친 타래,1,939,939,@zxlkhs_
ひ..,"맹물 먹기 싫어서 수분섭취 힘든 사람을 위한 혁명이다

물컵이나 텀블러에 타먹으니까 거의 무한으로 질리지 않고 이온음료 마실 수 있음 ㅠㅠ 칼로리 괜찮나 싶어서 봤는데 당류 0g이었어 대체당 특유의 맛 하나도 안나길래 착각함

나는 바로 한박스 더 시켜서 사무실에 갖다놈",137,0,545,"['맹물', '먹기', '싫다', '수분', '섭취', '힘드다', '사람', '혁명', '물컵', '이나', '텀블러', '먹다', '거의', '무한', '질리', '않다', '음료', '말다', '칼로리', '괜찮다', '싶다', '보다', '당류', '체당', '특유', '하나', '알다', '착각', '바로', '박스', '시키다', '사무실', '갖다']",1,맹물 먹기 싫다 수분 섭취 힘드다 사람 혁명 물컵 이나 텀블러 먹다 거의 무한 질리 않다 음료 말다 칼로리 괜찮다 싶다 보다 당류 체당 특유 하나 알다 착각 바로 박스 시키다 사무실 갖다,1,939,939,@zxlkhs_
ひ..,아참 눅스 라운지 무료가입하셔야 2500원 나옵니다!!,0,0,545,"['차다', '눅스', '라운지', '무료', '가입', '나오다']",0,차다 눅스 라운지 무료 가입 나오다,0,939,939,@zxlkhs_
ひ..,홍삼도 2만언밖에 안하네 알리 미친것,0,0,545,"['홍삼', '알리', '미치다']",0,홍삼 알리 미치다,0,939,939,@zxlkhs_
ひ..,"이것들 다 만원이구요,

알리 앱에서 ""타임딜"" 검색해야 뜹니다...

매일 낮 밤 10시부터 선착순!

https://s.click.aliexpress.com/e/_DEUGlgX",9,0,545,"['이구', '알리', '타임', '검색', '뜨다', '매일', '선착순']",0,이구 알리 타임 검색 뜨다 매일 선착순,0,939,939,@zxlkhs_
ට|니두,"돼지핑크색 립 ( = #제품제공 )

누디한 핑크베이지,, 주황기 있는 것도 좀 넣음
이번엔 가급적 매트~미끈 보송이들 위주로

릴바레, 발렌티노만 연해서 여러번 얹었고 나머지는 적당량 바름
클리오가 왜 저렇게 푸른기 돌아보이나 했는데 주변 색에 따라 유독 달라 보이는 듯한?",745,0,1만,"['돼지', '핑크색', '누디', '핑크', '베이지', '황기', '넣다', '이번', '가급적', '매트', '밉다', '송이', '위주', '릴바레', '발렌티노', '연하다', '여러', '얹다', '나머지', '적당', '바름', '클리오', '저렇게', '푸르다', '돌아보다', '주변', '따르다', '유독', '달라', '보이다', '#제품제공']",0,돼지 핑크색누디 핑크베이지 황기넣다 이번가급적 매트밉다 송이위주 릴바레발렌티노 연하다 여러얹다 나머지적당 바름클리오 저렇게 푸르다돌아보다 주변 따르다유독 달라보이다 #제품제공,0,939,939,@mymunge
