계정 이름,트윗 내용,리포스트 수,답글 제한 여부,작성한 포스트 수,전처리된 트윗,라벨링,전처리된 트윗_문자열,예측된_라벨링
신상 알려주는 계정,"테디테일즈 판교 현대백화점 팝업
 4층 아이코닉 스퀘어
https://teddytales.cafe24.com/product/%ED%8C%90%EA%B5%90-%ED%98%84%EB%8C%80%EB%B0%B1%ED%99%94%EC%A0%90-%EC%82%AC%EC%A0%84-%EC%98%88%EC%95%BD/79/category/56/display/1/…
여러분... 이번 팝업은 꼬옥 가셔야합니다
신상 라인업이 역.대.급으로 귀엽거든요....
곰돌이 키링만 있었는데 !! 판교에서는..
버니 키링 (토깽이) 이 최초로 공개됩니다 !",21,0,531,"['테디', '테일즈', '판교', '현대', '백화점', '팝업', '아이코닉', '스퀘어', '여러분', '이번', '팝업', '꼬옥', '갈다', '야하다', '신상', '라인업', '역대', '귀엽다', '곰돌이', '키링', '판교', '버니', '키링', '토깽', '최초', '공개', '되다']",1,테디 테일즈 판교 현대 백화점 팝업 아이코닉 스퀘어 여러분 이번 팝업 꼬옥 갈다 야하다 신상 라인업 역대 귀엽다 곰돌이 키링 판교 버니 키링 토깽 최초 공개 되다,
신상 알려주는 계정,"요즘 핫한 산리오 미니 필름 카메라!
포챠코 진짜 보자마자 바로 살뻔...
아니 하나같이 넘 기엽슴 ㅠㅠㅠㅠㅠ 
구매처는 타래에 있어요!!! 온라인에서만 판매중!",11000,0,531,"['요즘', '산리오', '미니', '필름', '카메라', '포챠코', '진짜', '보다', '바로', '살뻔', '아니다', '하나같이', '넘다', '기엽슴', '타래', '온라인', '에서만', '판매']",1,요즘 산리오 미니 필름 카메라 포챠코 진짜 보다 바로 살뻔 아니다 하나같이 넘다 기엽슴 타래 온라인 에서만 판매,
신상 알려주는 계정,"일본에서 팔던 환타메론소다 국내판매 시작
롯데마트에서 살 수 있다고 해요!!
달달한 메론맛+톡쏘는 소다 조합에
바닐라 아이스크림올리고 먹으면 걍 끝장..",18000,0,531,"['일본', '파다', '환타', '메론', '국내', '판매', '롯데', '마트', '달달', '메론', '맛톡', '쏘다', '조합', '바닐라', '아이스크림', '올리다', '먹다', '끝장']",1,일본 파다 환타 메론 국내 판매 롯데 마트 달달 메론 맛톡 쏘다 조합 바닐라 아이스크림 올리다 먹다 끝장,
신상 알려주는 계정,"터치하면 상대방 팔찌에 진동이 가는 우정 팔찌
어디에 떨어져있던 거리가 멀어도 된다고....
온라인에서만 판매중이고 구매처는 타래에 있어요!",12000,0,531,"['터치', '상대방', '팔찌', '진동', '가다', '우정', '팔찌', '어디', '떨어지다', '거리', '멀다', '되다', '온라인', '에서만', '판매', '타래']",1,터치 상대방 팔찌 진동 가다 우정 팔찌 어디 떨어지다 거리 멀다 되다 온라인 에서만 판매 타래,
신상 알려주는 계정,"성심당 망고시루 실사..... 
여름 한정으로 나왔고 저 빵도 정말 맛있지만
생망고가 그냥 폭발적으로 들어가있어요.",19000,0,531,"['성심당', '망고', '시루', '실사', '여름', '한정', '나오다', '정말', '맛있다', '망고', '그냥', '폭발', '들어가다']",1,성심당 망고 시루 실사 여름 한정 나오다 정말 맛있다 망고 그냥 폭발 들어가다,
신상 알려주는 계정,"일본에서 출시한 맥도날드 신상!!!
“메론 맥플러리”
저 동글동글한게 메론젤리.. 겁나쫀쫀하고
맛있대요 메론향이 넘 달달구리하다고!
일본 가시면 먹고 후기 풀어주세요...",11000,0,531,"['일본', '출시', '맥도날드', '신상', '메론', '맥플러리', '동글동글', '메론', '젤리', '겁나다', '쫀쫀', '하고', '맛있다', '대요', '메론', '넘다', '달달', '구리다', '일본', '가시', '먹다', '후기', '풀다']",1,일본 출시 맥도날드 신상 메론 맥플러리 동글동글 메론 젤리 겁나다 쫀쫀 하고 맛있다 대요 메론 넘다 달달 구리다 일본 가시 먹다 후기 풀다,
신상 알려주는 계정,여러분.... 토닉워터가 얼음컵으로 출시되었다는 쩝쩝박사 소식 전해드립니다..   gs에서 판다고함!,16000,0,531,"['여러분', '토닉', '워터', '얼음', '출시', '되어다', '쩝쩝', '박사', '소식', '해드리다', '판다']",1,여러분 토닉 워터 얼음 출시 되어다 쩝쩝 박사 소식 해드리다 판다,
신상 알려주는 계정,칠성사이다 매실맛 제로가 출시되었다는 소식..,14000,0,531,"['칠성사', '매실', '제로', '출시', '되어다', '소식']",1,칠성사 매실 제로 출시 되어다 소식,
신상 알려주는 계정,"일본에서만 먹을 수 있던 스트롱사와가 
한국 세븐일레븐에 들어왔다는 소식... 
사이다처럼 탄산 세고 맛있는데 도수가 9도",12000,0,531,"['일본', '에서만', '먹다', '스트롱사와', '한국', '세븐일레븐', '들어오다', '소식', '사이다', '처럼', '탄산', '세고', '맛있다', '도수']",1,일본 에서만 먹다 스트롱사와 한국 세븐일레븐 들어오다 소식 사이다 처럼 탄산 세고 맛있다 도수,
신상 알려주는 계정,"올여름 무더위가 전혀 두렵지 않아요
여러분 기억하세요. 3시간 15분이에요
3시간 15분뒤에 꺼내서 드세요
여름나기에 이만한게 없습니다",6800,0,531,"['올여름', '무더위', '전혀', '두렵다', '않다', '여러분', '기억', '시간', '이에요', '시간', '분뒤', '꺼내다', '들다', '여름', '나기', '이만', '없다']",1,올여름 무더위 전혀 두렵다 않다 여러분 기억 시간 이에요 시간 분뒤 꺼내다 들다 여름 나기 이만 없다,
신상 알려주는 계정,"공차 신상... 망고사고 밀크 출시되었다는 쫀득한 소식 전해드리며

출처 : 먹킷리스트",13000,0,531,"['공차', '신상', '망고', '사고', '밀크', '출시', '되어다', '쫀득', '소식', '해드리다', '출처', '먹킷', '리스트']",1,공차 신상 망고 사고 밀크 출시 되어다 쫀득 소식 해드리다 출처 먹킷 리스트,
신상 알려주는 계정,여러분... 매일유업의 엔요가 얼려먹는 엔요로 출시 된다고 합니다,9100,0,531,"['여러분', '매일유업', '요가', '얼리다', '먹다', '요로', '출시', '되다']",1,여러분 매일유업 요가 얼리다 먹다 요로 출시 되다,
신상 알려주는 계정,"드뎌 해외직구 풀린 하리보 초코 마시멜로우!!
이거 진짜 개객개개개존맛인데 먹어본사람 거의없음 왜냐 해외에서만 팔았으니까.... 진짜 개존맛이랍니다
구매처는 타래에 있고 온라인에서만 구매가능!",5300,0,531,"['드뎌', '해외', '직구', '풀리다', '하리보', '초코', '마시멜로우', '진짜', '개객', '개개', '존맛', '먹다', '사람', '거의', '없다', '해외', '에서만', '파다', '진짜', '개존맛', '구매', '타래', '온라인', '에서만', '구매', '가능']",1,드뎌 해외 직구 풀리다 하리보 초코 마시멜로우 진짜 개객 개개 존맛 먹다 사람 거의 없다 해외 에서만 파다 진짜 개존맛 구매 타래 온라인 에서만 구매 가능,
신상 알려주는 계정,"비틀즈 N년만의 신상 누드 밀크소다 비틀즈
7~8월에만 판매하는 여름 한정판
밀크소다맛이고 맛있다고함!",8600,0,531,"['비틀즈', '만의', '신상', '누드', '밀크', '비틀즈', '에만', '판매', '여름', '한정판', '밀크', '맛있다']",1,비틀즈 만의 신상 누드 밀크 비틀즈 에만 판매 여름 한정판 밀크 맛있다,
신상 알려주는 계정,"편의점에서 단돈 2,000원에 
밖에서 8,000원 주고 사먹는 하이볼과
똑.같.은 맛 내는 레시피를 알려드립니다 ",4500,0,531,"['편의점', '단돈', '주다', '사먹다', '하이', '똑같다', '내다', '레시피', '알다', '드리다']",1,편의점 단돈 주다 사먹다 하이 똑같다 내다 레시피 알다 드리다,
신상 알려주는 계정,"메가커피 대박 신상.. 지구별 초코 크레페

직영점만 선 출시!
가맹점은 7월 4일부터 전국 출시!

및친소식 아입니꽈….",10000,0,531,"['커피', '대박', '신상', '지구별', '초코', '크레페', '직영', '출시', '가맹', '전국', '출시', '친소', '아입니꽈']",1,커피 대박 신상 지구별 초코 크레페 직영 출시 가맹 전국 출시 친소 아입니꽈,
신상 알려주는 계정,아디다스 오리지날스 리본 신발끈 너무 예쁨..,3800,0,531,"['아디다스', '오리', '지나다', '리본', '발끈', '너무', '예쁘다']",1,아디다스 오리 지나다 리본 발끈 너무 예쁘다,
